TED_waveform,TED_transcript
84_AJJacobs_2007P,google it so i wasted some time there
85_AJJacobs_2007P,<unk> i love those experiments but i think that the most profound and life changing
86_AJJacobs_2007P,experiment that i 've done is my most recent experiment
87_AJJacobs_2007P,where i spent a year trying to follow all of the rules of the bible the year of living biblically
88_AJJacobs_2007P,and
89_AJJacobs_2007P,i undertook this for two reasons the first was that i grew up with no religion at all as
90_AJJacobs_2007P,<unk> in my book i 'm jewish in the same way the olive garden is italian so
91_AJJacobs_2007P,not very
92_AJJacobs_2007P,but i 've become increasingly interested in religion i do think it 's the defining issue of our time or
93_AJJacobs_2007P,one of the main ones and i have a son i want to know what to teach him <unk> so i decided to dive in head first and try to live the bible <unk>
94_AJJacobs_2007P,<unk> the second reason i undertook this is because i 'm concerned about the rise of fundamentalism religious fundamentalism
95_AJJacobs_2007P,and people who say they take the bible literally <unk> which is according to some polls as high as forty five or fifty percent of america <unk>
96_AJJacobs_2007P,i decided what if you really did take the bible literally <unk> i decided to take it to its logical conclusion
97_AJJacobs_2007P,and and take everything in the bible literally <unk> without picking and choosing the first thing i did was i
98_AJJacobs_2007P,<unk> got a stack of bibles <unk> i had christian bibles i had
99_AJJacobs_2007P,jewish bibles a friend of mine sent me something called a hip hop bible
100_AJJacobs_2007P,where the twenty third psalm is rendered as the lord is all that as opposed to what i knew it as the lord is my shepherd
101_AJJacobs_2007P,then i went down and i read
102_AJJacobs_2007P,<unk> and i wrote down every single law
103_AJJacobs_2007P,that i could find and this was a very long list over seven hundred
104_AJJacobs_2007P,rules
105_AJJacobs_2007P,<unk> and they range from the famous ones that i had heard of the ten commandments
106_AJJacobs_2007P,love your neighbor be fruitful and multiply <unk> so i wanted to follow those and actually i take my projects very seriously because i had twins during my year so i
107_AJJacobs_2007P,i definitely take my projects seriously <unk> but i
108_AJJacobs_2007P,i also wanted to follow the hundreds of arcane and obscure laws that are in the bible
109_AJJacobs_2007P,<unk> there is the law in leviticus you cannot shave the corners of your beard i didn 't know where my corners were so i decided to let the whole thing grow <unk> and this is what i looked like by the end
110_AJJacobs_2007P,as you can imagine i spent a lot of time at airport security
111_AJJacobs_2007P,my wife wouldn 't kiss me
112_AJJacobs_2007P,for the last two months <unk>
113_AJJacobs_2007P,so <unk> certainly the challenge was there the bible says you cannot wear clothes made of mixed fibers <unk> so i thought sounds strange but i 'll try it you only know if you try it <unk>
114_AJJacobs_2007P,i got rid of all my <unk>
115_AJJacobs_2007P,the bible says that if two men are in a fight and the wife of one of those men grabs the testicles of the
116_AJJacobs_2007P,<unk> then her hand shall be cut off <unk> so i wanted to follow that rule
117_AJJacobs_2007P,that one i followed by default by not getting in a fight with a man whose wife was standing nearby <unk>
118_AJJacobs_2007P,looking like she had a strong grip so
119_AJJacobs_2007P,oh there 's another shot of my
120_AJJacobs_2007P,my beard <unk> i will say it was an amazing year because it really was life changing and incredibly challenging and there were two types of laws that were particularly
121_AJJacobs_2007P,<unk> challenging <unk> the first was avoiding the little sins that we all commit every day you know
122_AJJacobs_2007P,i could spend a year not killing but spending a year not gossiping not coveting not lying you know i live in new york <unk> and i work as a journalist so this was seventy five eighty percent of my day i had to do it
123_AJJacobs_2007P,<unk> but it was really interesting because i was able to
124_AJJacobs_2007P,to make some progress because
125_AJJacobs_2007P,i couldn 't believe how much my behavior changed my thoughts this was one of the huge lessons of the year is that i almost pretended to be a better person <unk> and i became a little bit of a better person so
126_AJJacobs_2007P,i had always thought you know you change your mind and you change your behavior but it 's
127_AJJacobs_2007P,<unk> often the other way around you change your behavior
128_AJJacobs_2007P,<unk> and you change your mind so you
129_AJJacobs_2007P,know if you want to become more compassionate <unk> you visit sick people in the hospital <unk> and you will become more compassionate <unk>
130_AJJacobs_2007P,you donate money to a cause <unk> and you become emotionally involved in that cause
131_AJJacobs_2007P,so it really was cognitive psychology
132_AJJacobs_2007P,you know cognitive dissonance that i was experiencing the bible actually talks about cognitive psychology very primitive cognitive psychology in the proverbs it says
133_AJJacobs_2007P,<unk> that if you smile you will become happier which as we know is actually true <unk> the second type of
134_AJJacobs_2007P,of rule that was difficult to obey was the rules that will get you into a little trouble in twenty first century america <unk> and
135_AJJacobs_2007P,perhaps the clearest example of this is stoning
136_AJJacobs_2007P,<unk> it 's a big part of the bible so
137_AJJacobs_2007P,i figured i had to address it so i was able to stone one adulterer it happened
138_AJJacobs_2007P,i was in the park <unk> and i was dressed in my biblical clothing so sandals and sort of a white robe <unk> you know because again the outer affects the inner i wanted to see how dressing biblically affected my mind
139_AJJacobs_2007P,<unk> and this man came up to me and he said why are you dressed like that and i explained my project
140_AJJacobs_2007P,<unk> and he said well i am an adulterer <unk> are you going to stone me and i said well that would be great and
141_AJJacobs_2007P,i actually
142_AJJacobs_2007P,took out a handful of of stones from my pocket that i had been carrying around for weeks <unk> hoping for just this
143_AJJacobs_2007P,<unk> he grabbed them out of my hand he was actually an elderly man mid 70s just so you know <unk> but he 's still an adulterer <unk> and still quite angry he grabbed them out of my hand and threw them at my face
144_AJJacobs_2007P,<unk> and i felt that i could eye for an eye i could retaliate and throw one back at him
145_AJJacobs_2007P,so that was my experience stoning <unk> and it did allow me to
146_AJJacobs_2007P,<unk> in a more serious way these big issues how can the bible be so barbaric in some places and yet so incredibly wise in others
147_AJJacobs_2007P,how should we view the bible should we view it you know as original intent like a sort of a scalia version
148_AJJacobs_2007P,of the bible <unk> how was the bible written and actually since this is a tech crowd i talk in the book about
149_AJJacobs_2007P,how the bible actually reminds me of the wikipedia because it has all of these authors and
150_AJJacobs_2007P,<unk> editors over hundreds of years and it 's sort of evolved it 's not a book that was written and came down from on high <unk> so
151_AJJacobs_2007P,i thought i would i would end by telling you just a couple of the the take aways the bigger
152_AJJacobs_2007P,lessons that i learned from my year <unk> the first is
153_AJJacobs_2007P,<unk> this became very very clear early on because if you do <unk> then you end up acting like a crazy person and stoning adulterers <unk> or here 's another example
154_AJJacobs_2007P,well that 's another i did spend some time shepherding <unk> it 's a very relaxing
155_AJJacobs_2007P,vocation i recommend it <unk> but this one is
156_AJJacobs_2007P,the bible says that you cannot touch women during certain times of the month and more than that you cannot sit on
157_AJJacobs_2007P,<unk> a seat where a menstruating woman has sat and my wife thought this was very offensive so she sat in every seat in our apartment <unk>
158_AJJacobs_2007P,and i had to spend much of the year standing until
159_AJJacobs_2007P,i i bought my own seat
160_AJJacobs_2007P,and
161_AJJacobs_2007P,and carried it around <unk> so you know i met with creationists i went to
162_AJJacobs_2007P,<unk> and these are the ultimate literalists
163_AJJacobs_2007P,and it was fascinating because they were not stupid people at all i would wager that their iq is exactly the same as the average evolutionist it 's just that their faith is so strong
164_AJJacobs_2007P,in this literal interpretation of the bible that they distort all the data to to fit their model <unk> and they go through these amazing mental gymnastics to accomplish this
165_AJJacobs_2007P,<unk> i will say though the museum is gorgeous they really did a fantastic job if you 're ever in kentucky <unk> there 's you can see a movie of the flood and they have sprinklers in the ceiling that will
166_AJJacobs_2007P,sprinkle on you during the the flood scenes <unk> so <unk> whatever you think of creationism and i think it 's crazy
167_AJJacobs_2007P,they did a great job
168_AJJacobs_2007P,another lesson is that that thou shalt give thanks and this one was a big
169_AJJacobs_2007P,<unk> lesson because i was praying giving these prayers of thanksgiving which was odd for an agnostic <unk> but
170_AJJacobs_2007P,i was saying thanks all the time every day and i started to change my perspective <unk> and i started to realize the hundreds of little things that go right every day
171_AJJacobs_2007P,that i didn i didn 't even notice that i
172_AJJacobs_2007P,<unk> as opposed to focusing on the three or four that went wrong
173_AJJacobs_2007P,<unk> so this is actually a key to happiness for me is to just remember when i came over here the car didn 't flip over and i didn 't trip coming up the stairs it 's
174_AJJacobs_2007P,a remarkable thing <unk> third <unk> that thou shall have reverence this one was
175_AJJacobs_2007P,unexpected because i started the year as an agnostic <unk> and by the end of the year i became what a friend of mine calls a reverent agnostic
176_AJJacobs_2007P,which i love and i 'm trying to start it as a movement so if anyone wants to join <unk>
177_AJJacobs_2007P,the basic idea is whether or not there is a god there 's something important and beautiful about the idea of sacredness <unk> and that our rituals can be sacred
178_AJJacobs_2007P,the sabbath can be sacred <unk> this was one of the great things about my year doing the sabbath because i am a
179_AJJacobs_2007P,workaholic so having this one day where you cannot work
180_AJJacobs_2007P,<unk> it really that changed my life <unk> so this idea of sacredness whether or not there is a god
181_AJJacobs_2007P,thou shall not stereotype this one happened because i
182_AJJacobs_2007P,i spent a lot of time with various religious communities throughout america because i wanted it to be more than about my
183_AJJacobs_2007P,journey i wanted it to be about religion in america <unk> so i spent time with evangelical christians and hasidic
184_AJJacobs_2007P,<unk> jews and the amish i 'm very proud because i think i i 'm the only person in america to out bible talk a jehovah 's witness
185_AJJacobs_2007P,after three and a half hours <unk> he looked at his watch he 's like i gotta go
186_AJJacobs_2007P,<unk> interesting because i had some very preconceived notions about for instance evangelical christianity and i found that it 's such a wide
187_AJJacobs_2007P,and varied movement that that it is difficult to make
188_AJJacobs_2007P,generalizations about it <unk> there 's a group i met with called the red letter christians <unk> and they focus on the red words in the bible <unk> which are the ones that jesus spoke that 's how they printed them in the old bibles
189_AJJacobs_2007P,<unk> and their argument is that jesus never talked about homosexuality <unk> they have a pamphlet that says here 's what jesus said about homosexuality
190_AJJacobs_2007P,and you open it up and there 's nothing in it <unk> so
191_AJJacobs_2007P,they say jesus did talk a lot about
192_AJJacobs_2007P,helping the outcasts helping
193_AJJacobs_2007P,<unk> this was very inspiring to me
194_AJJacobs_2007P,i recommend jim wallis and tony campolo
195_AJJacobs_2007P,<unk> they 're very inspiring leaders even though i disagree with much of what they say <unk> also thou shalt not disregard the irrational this one was was very
196_AJJacobs_2007P,unexpected because you know i grew up
197_AJJacobs_2007P,with the scientific worldview and
198_AJJacobs_2007P,<unk> how much of my my life is governed by irrational forces <unk> and
199_AJJacobs_2007P,the thing is if they 're not harmful <unk> they 're not to be completely dismissed because i learned that
200_AJJacobs_2007P,i was thinking i was doing all these rituals these biblical rituals <unk> separating my wool and linen <unk>
201_AJJacobs_2007P,and i would ask these religious people why would the bible possibly
202_AJJacobs_2007P,tell us to do this why would god care and they said we don 't know but it 's just rituals
203_AJJacobs_2007P,that give us meaning and i would say <unk> but that 's crazy and they would say well what about you you <unk>
204_AJJacobs_2007P,you blow out candles on top of a birthday cake
205_AJJacobs_2007P,<unk> if a guy from mars came down and saw <unk>
206_AJJacobs_2007P,here 's one guy
207_AJJacobs_2007P,blowing out the fire on top of a cake
208_AJJacobs_2007P,<unk> versus another guy not wearing clothes of mixed fabrics would the martians say '
209_AJJacobs_2007P,well that guy he makes sense but that guy 's crazy ' so no i think that rituals are
210_AJJacobs_2007P,by nature irrational so the key is to choose the right rituals the ones that
211_AJJacobs_2007P,that are not
212_AJJacobs_2007P,<unk> but rituals by themselves are not to be dismissed <unk> and finally
213_AJJacobs_2007P,i learned that thou shall pick and choose <unk> and this one i learned because
214_AJJacobs_2007P,i tried to follow everything in the bible <unk> and i failed miserably because you can 't you have to pick and choose and anyone who follows the bible
215_AJJacobs_2007P,is going to be picking and choosing the key is
216_AJJacobs_2007P,to pick and choose the right parts there 's the phrase
217_AJJacobs_2007P,<unk> called cafeteria religion <unk> and the fundamentalists will use it
218_AJJacobs_2007P,in a denigrating way and they 'll say oh it 's just cafeteria religion you 're just picking and choosing but my argument is
219_AJJacobs_2007P,what 's wrong with cafeterias i 've had some great meals at cafeterias <unk> i 've also had some meals that make me want to dry heave
220_AJJacobs_2007P,<unk> it 's about choosing the parts of the bible about compassion about tolerance about loving your neighbor as opposed to the parts
221_AJJacobs_2007P,about
222_AJJacobs_2007P,homosexuality is a sin <unk> or intolerance or violence <unk> which are very much in the bible as well so if we are to find any meaning in this book <unk>
223_AJJacobs_2007P,then we have to really engage it and wrestle with
224_AJJacobs_2007P,<unk> last decade subjecting myself to pain and humiliation <unk> hopefully for a good cause which is
225_AJJacobs_2011P,and i 've done this in three parts <unk> so first
226_AJJacobs_2011P,<unk> i decided to try to get smarter by reading the entire encyclopedia britannica from a to z or more precisely from a ak to
227_AJJacobs_2011P,zywiec and here 's a little image of that and this was an amazing year it was really a fascinating journey
228_AJJacobs_2011P,so it had its downsides <unk> but
229_AJJacobs_2011P,after that i decided to work on the spirit as i mentioned last year i grew up with no religion at all
230_AJJacobs_2011P,i 'm jewish but i 'm jewish in the same way the olive garden is italian not
231_AJJacobs_2011P,really but i decided to learn about the bible and my heritage
232_AJJacobs_2011P,<unk> by actually diving in and trying to live it and immerse myself in it <unk> so i decided to follow all the rules of the bible and
233_AJJacobs_2011P,from the ten commandments to growing my beard because leviticus says you cannot shave so this is what i looked like by the end
234_AJJacobs_2011P,thank you for that reaction
235_AJJacobs_2011P,<unk> i got both of them <unk> so there was the the topiary there and
236_AJJacobs_2011P,there 's the sheep now
237_AJJacobs_2011P,the final part of the trilogy was i wanted to focus on the body and try to be the healthiest person i could be the healthiest person alive so that 's what i 've been doing the last couple of years <unk> and i just finished a couple
238_AJJacobs_2011P,<unk> and i have to say thank god because living so healthily was killing me
239_AJJacobs_2011P,it was so overwhelming because the amount of things you have to do it 's just
240_AJJacobs_2011P,mind boggling i was listening to all the experts and talking to sort of a board of medical advisers and they were telling me
241_AJJacobs_2011P,all the things i had to do <unk> i had to eat right
242_AJJacobs_2011P,<unk> because that lowers the blood pressure <unk> i wrote the book on a treadmill and it took me about a thousand miles to write the book <unk> i had to put on sunscreen this <unk>
243_AJJacobs_2011P,<unk> was no small feat because if you listen to dermatologists they say that you should have a shot glass full of sunscreen <unk> and you have to reapply it every two to four hours so i think half of my <unk>
244_AJJacobs_2011P,<unk> book advance went into sunscreen <unk> i was like a glazed doughnut for most of the year
245_AJJacobs_2011P,<unk> there was the washing of hands i had to do that properly <unk> and my immunologist told me that i should also wipe down all of the remote controls and <unk>
246_AJJacobs_2011P,iphones in my house because those are just orgies of germs <unk> so that took a lot of time <unk>
247_AJJacobs_2011P,<unk> because that 's a part of health
248_AJJacobs_2011P,i was inspired by the danish safety council they started a public campaign that says
249_AJJacobs_2011P,a walking helmet is a good helmet so they believe you should not just wear helmets for biking but also for walking around <unk>
250_AJJacobs_2011P,and
251_AJJacobs_2011P,you can see there they 're shopping with their helmets laughter
252_AJJacobs_2011P,<unk> i tried that
253_AJJacobs_2011P,now it 's a little extreme i admit but if you think about this this is actually the freakonomics authors wrote about this that more <unk>
254_AJJacobs_2011P,<unk> people die on a per mile basis from drunk walking than from drunk driving <unk> so
255_AJJacobs_2011P,my cholesterol went down i lost weight my wife stopped telling me that i looked pregnant <unk> so that was nice <unk> and
256_AJJacobs_2011P,it was successful overall but i also learned that i was too healthy and that was unhealthy <unk> i was so focused on doing all these things that i was neglecting my friends and family and as dan buettner can tell you
257_AJJacobs_2011P,<unk> having a strong social network is so crucial to our health <unk> so i finished <unk> and i
258_AJJacobs_2011P,i kind of went overboard on the week after the project was over i went to the dark side
259_AJJacobs_2011P,and i just indulged myself it was like something out of caligula without the sex part because
260_AJJacobs_2011P,i have three young kids so that wasn 't happening
261_AJJacobs_2011P,<unk> definitely <unk> and i finally
262_AJJacobs_2011P,have stabilized so now i 'm back to adopting many not all i don 't wear a helmet anymore but
263_AJJacobs_2011P,dozens of healthy behaviors that i adopted during
264_AJJacobs_2011P,<unk> of course don 't have time to go into all of them let me just tell you two really quickly
265_AJJacobs_2011P,the first is and this was surprising to me i didn 't expect this to come out but i live a much quieter life now
266_AJJacobs_2011P,because we live in such a noisy world
267_AJJacobs_2011P,there 's trains and planes and cars and bill o
268_AJJacobs_2011P,<unk> health hazard not just because it harms our hearing <unk> which it obviously does but it actually
269_AJJacobs_2011P,initiates the fight or flight response a loud noise will get your
270_AJJacobs_2011P,<unk> fight or flight response going and this <unk> over the years can cause real damage
271_AJJacobs_2011P,<unk> cardiovascular damage the world health organization just did a big study that they published this year <unk>
272_AJJacobs_2011P,and <unk> it was done in europe and they estimated that one point six million years of healthy living are lost
273_AJJacobs_2011P,every year in europe
274_AJJacobs_2011P,because of noise pollution <unk> so they think it 's actually very deadly
275_AJJacobs_2011P,<unk> impairs cognition and our founding fathers knew about this <unk> when they wrote the constitution they put
276_AJJacobs_2011P,dirt all over the cobblestones outside the hall so that they could concentrate so
277_AJJacobs_2011P,without noise reduction technology our country would not exist so as a patriot
278_AJJacobs_2011P,<unk> i felt it was important to i wear all the earplugs and the earphones and it 's really improved my life in
279_AJJacobs_2011P,in a surprising and unexpected way and the second point i want to make the final point is
280_AJJacobs_2011P,that <unk>
281_AJJacobs_2011P,and it 's actually been a theme of tedmed that
282_AJJacobs_2011P,that joy is so important to your health that
283_AJJacobs_2011P,<unk> there 's some sense of pleasure and joy in them <unk> and just to give you one instance of this food
284_AJJacobs_2011P,the
285_AJJacobs_2011P,junk food industry is really great at at pressing our pleasure buttons and figuring out what 's the most pleasurable
286_AJJacobs_2011P,but i think we can use their techniques and apply them to healthy food to give just one example we
287_AJJacobs_2011P,<unk> love crunchiness <unk> mouthfeel <unk> so
288_AJJacobs_2011P,i basically have tried to incorporate crunchiness into a lot of my recipes throw in some sunflower seeds <unk>
289_AJJacobs_2011P,and you can almost trick yourself into thinking you 're eating doritos and
290_AJJacobs_2011P,it has made me a healthier person <unk> so that is it the book about it comes out in april it 's called drop dead healthy and i hope that i don 't get sick during the book tour that 's my greatest hope so thank you very much
291_AJJacobs_2011P,<unk> six months ago <unk> i got an email from a man in israel who had read one of my books
292_AJJacobs_2014A,and the email said you don 't know me <unk> but i 'm your 12th cousin
293_AJJacobs_2014A,and it said i have a family tree with eighty thousand people on it including you
294_AJJacobs_2014A,<unk> marx and several european aristocrats
295_AJJacobs_2014A,now i did not know what to make of this part of me was like okay when 's he going to ask me to wire ten thousand dollars to his nigerian bank right
296_AJJacobs_2014A,i also thought eighty thousand relatives do i want that i have enough trouble with
297_AJJacobs_2014A,<unk> the ones i have already <unk> and i won 't name names but you know who you are
298_AJJacobs_2014A,but another part of me said this is remarkable <unk> here i am alone in my office but i 'm not alone at all i 'm connected to eighty thousand <unk>
299_AJJacobs_2014A,<unk> people around the world and that 's four madison square gardens full of cousins
300_AJJacobs_2014A,<unk> but they 're all related to me
301_AJJacobs_2014A,so this email inspired me to dive into genealogy
302_AJJacobs_2014A,which i always thought was a very staid and proper field <unk> but it turns out it 's going through a fascinating revolution and a controversial one
303_AJJacobs_2014A,partly this is because of dna and genetic testing <unk> but partly <unk> it 's because of the internet
304_AJJacobs_2014A,there are sites that now take the wikipedia approach to family trees collaboration
305_AJJacobs_2014A,<unk> and crowdsourcing and what you do is you load your family tree on and then these sites search to see if the a j jacobs in your tree
306_AJJacobs_2014A,is the same as the a j jacobs in another tree and if it is then you can combine
307_AJJacobs_2014A,and then you combine and combine and combine until you get these massive mega family trees with thousands of people on them
308_AJJacobs_2014A,or even millions i
309_AJJacobs_2014A,<unk> on something on geni called the world family tree <unk> which has no less than a
310_AJJacobs_2014A,<unk> you are on it whether you know it or not and you can see the links
311_AJJacobs_2014A,here 's my cousin gwyneth paltrow <unk> she has no idea i exist but
312_AJJacobs_2014A,we are officially cousins we have just seventeen links between us <unk> and
313_AJJacobs_2014A,there 's my cousin barack obama
314_AJJacobs_2014A,<unk> he is my aunt 's fifth great aunt 's husband 's father 's wife 's seventh great nephew so
315_AJJacobs_2014A,practically my old brother <unk>
316_AJJacobs_2014A,and my cousin of course the actor kevin bacon
317_AJJacobs_2014A,who is my first cousin 's twice removed 's wife 's niece 's husband 's first cousin once removed 's niece 's husband <unk>
318_AJJacobs_2014A,so six degrees of kevin bacon <unk> plus or minus several degrees
319_AJJacobs_2014A,now i 'm not boasting because all of you have famous people and historical figures in in your tree because we are all connected <unk>
320_AJJacobs_2014A,and seventy five million may seem like a lot but in a few years it 's quite likely we will have a family tree with all almost all seven
321_AJJacobs_2014A,<unk> does it really matter what 's the importance <unk> and i do think it is important and i 'll give you five reasons why really quickly first it 's got scientific value
322_AJJacobs_2014A,this is an unprecedented history of the human race <unk>
323_AJJacobs_2014A,and it 's giving us
324_AJJacobs_2014A,valuable data about how diseases are inherited how people migrate and there 's a team of scientists
325_AJJacobs_2014A,<unk> mit right now studying the world family tree
326_AJJacobs_2014A,number two <unk> it brings history alive <unk> i found out i 'm connected to albert einstein <unk> so i told my seven year old son that and
327_AJJacobs_2014A,he was totally engaged now albert einstein is not some
328_AJJacobs_2014A,dead white guy with weird hair he 's uncle albert
329_AJJacobs_2014A,and my son wanted to know
330_AJJacobs_2014A,what did he say what is e = mc squared also it 's not all good news <unk> i found a link to jeffrey dahmer the serial killer <unk>
331_AJJacobs_2014A,but i will say that 's on my wife 's side so
332_AJJacobs_2014A,i want to make that clear <unk> sorry honey
333_AJJacobs_2014A,number three interconnectedness we all come from the same ancestor
334_AJJacobs_2014A,and you don 't have to believe the literal bible version
335_AJJacobs_2014A,<unk> scientists talk about
336_AJJacobs_2014A,y chromosomal adam and
337_AJJacobs_2014A,mitochondrial eve <unk> and these were about one hundred thousand to three hundred thousand years ago we all have a bit of their dna in us they are our <unk>
338_AJJacobs_2014A,continue that for about seven thousand times grandparents <unk> and so that means we literally all are biological cousins as
339_AJJacobs_2014A,<unk> the farthest cousin you have on earth is about a <unk>
340_AJJacobs_2014A,it 's not just ancestors we share <unk> descendants
341_AJJacobs_2014A,if you have kids <unk> and they have kids look how quickly the descendants accumulate so in ten twelve generations you 're going to have thousands of offspring and millions of offspring <unk>
342_AJJacobs_2014A,number four a
343_AJJacobs_2014A,<unk> i know that
344_AJJacobs_2014A,there are family feuds i have three sons so i see how they fight <unk>
345_AJJacobs_2014A,but i think that there 's also a human bias to treat your family a little better than strangers <unk> i think this tree is going to be bad news for bigots because
346_AJJacobs_2014A,they 're going to have to realize that they are cousins with thousands of people in whatever ethnic group they happen to to have
347_AJJacobs_2014A,<unk> issues with and i think you look back at history
